판매ID,판매일,거래처코드,거래처명,제품코드, 단가 ,수량,할인율, 금액 
1,2019-01-02,1,한미전자,NT150600," 916,200 ",7,0.1," 5,772,060 "
2,2019-01-02,1,한미전자,MP010062," 133,500 ",8,0.1," 961,200 "
3,2019-01-02,6,글로벌 전자,CA280298," 80,700 ",11,0.1," 798,930 "
4,2019-01-02,16,대진상사,OA290227," 27,900 ",8,0," 223,200 "
5,2019-01-02,6,글로벌 전자,TV090361," 816,500 ",7,0," 5,715,500 "
6,2019-01-02,48,한양이엔지,PC170590," 423,700 ",11,0," 4,660,700 "
7,2019-01-02,48,한양이엔지,TV090654," 1,011,800 ",1,0," 1,011,800 "
8,2019-01-02,6,글로벌 전자,OA290227," 27,900 ",9,0," 251,100 "
9,2019-01-03,28,서진전자,SP320563," 210,000 ",14,0," 2,940,000 "
10,2019-01-03,53,국제전자,PJ190252," 1,085,800 ",20,0," 21,716,000 "
11,2019-01-03,47,삼인시스템,TV090368," 512,700 ",2,0," 1,025,400 "
12,2019-01-03,4,동광통상,SP320563," 210,000 ",34,0.1," 6,426,000 "
13,2019-01-04,47,삼인시스템,MP010006," 281,700 ",7,0.1," 1,774,710 "
14,2019-01-04,3,태화상사,MP010025," 223,100 ",6,0.1," 1,204,740 "
15,2019-01-04,25,삼양상사,CA270427," 824,100 ",1,0.1," 741,690 "
16,2019-01-04,51,그린테크,OA290108," 37,600 ",8,0.1," 270,720 "
17,2019-01-04,47,삼인시스템,TV090347," 570,600 ",18,0," 10,270,800 "
18,2019-01-05,48,한양이엔지,TV090362," 807,600 ",5,0," 4,038,000 "
19,2019-01-05,20,세종물산,SP310567," 325,400 ",5,0.1," 1,464,300 "
20,2019-01-05,37,J마켓,PA220231," 156,600 ",7,0.1," 986,580 "
21,2019-01-05,14,베네디스,BH060632," 218,700 ",3,0.1," 590,490 "
22,2019-01-05,9,월드링크,SP310567," 325,400 ",2,0.1," 585,720 "
23,2019-01-06,37,J마켓,CA270433," 508,400 ",21,0.1," 9,608,760 "
24,2019-01-06,28,서진전자,MP010009," 281,700 ",13,0.1," 3,295,890 "
25,2019-01-06,42,우리정보,CA280112," 248,900 ",7,0.1," 1,568,070 "
